relpicture,recog,correct,irr_1,irr_2,irr_3,irr_4,irr_5,thisN,thisTrialN,thisRepN,KeepInMindRecog_key_resp_1.keys,KeepInMindRecog_key_resp_1.corr,KeepInMindRecog_key_resp_1.rt,KeepInMindRecog_key_resp_1.duration,InMind.thisRepN,InMind.thisTrialN,InMind.thisN,InMind.thisIndex,RSVPList.thisRepN,RSVPList.thisTrialN,RSVPList.thisN,RSVPList.thisIndex,thisRow.t,notes,piloting,welcome.started,welcome_text_1.started,welcome_keyboard_1.started,welcome.stopped,welcome_keyboard_1.keys,welcome_keyboard_1.rt,welcome_keyboard_1.duration,instruction.started,instruction_text_1.started,instruction_keyboard.started,instruction.stopped,instruction_keyboard.keys,instruction_keyboard.rt,instruction_keyboard.duration,shuffle_stim.started,shuffle_stim.stopped,prepare_marker.started,prepare_marker.stopped,KeepInMindSlide.started,KeepInMindSlide_image_1.started,KeepInMindSlide_text_1.started,KeepInMindSlide.stopped,test_stimulus.started,test_stimulus.stopped,fixation.started,fixation_polygon_1.started,fixation.stopped,ISI.started,ISI_polygon_1.started,ISI.stopped,trigger,RSVP_2.started,RSVP_image_1.started,RSVP_2.stopped,KeepInMindRecog.started,KeepInMindRecog_image_1.started,KeepInMindRecog_image_2.started,KeepInMindRecog_image_3.started,KeepInMindRecog_image_4.started,KeepInMindRecog_image_5.started,KeepInMindRecog_image_6.started,KeepInMindRecog_key_resp_1.started,KeepInMindRecog_image_1.stopped,KeepInMindRecog_image_2.stopped,KeepInMindRecog_image_3.stopped,KeepInMindRecog_image_4.stopped,KeepInMindRecog_image_5.stopped,KeepInMindRecog_image_6.stopped,KeepInMindRecog.stopped,InMind.KeepInMindRecog_key_resp_1.keys,InMind.KeepInMindRecog_key_resp_1.corr,InMind.KeepInMindRecog_key_resp_1.rt,InMind.KeepInMindRecog_key_resp_1.duration,judge.started,judge_text_1.started,judge.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,8,0,8,,,,,0,0,0,4,8,0,8,0,11.273603332985658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.258301333000418,11.273603332985658,11.358268624986522,202,11.362925916997483,11.37347945800866,11.958294707990717,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,9,0,9,,,,,0,0,0,4,9,0,9,0,11.973630624997895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.958399625000311,11.973630624997895,12.058238833007636,201,12.06239387500682,12.07362483299221,12.641683833004208,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,10,0,10,,,,,0,0,0,4,10,0,10,0,12.656957333005266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.641792167007225,12.656957333005266,12.741600082983496,202,12.745387583010597,12.757002958009252,13.341640375001589,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,11,0,11,,,,,0,0,0,4,11,0,11,0,13.356910625007004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.341741499985801,13.356910625007004,13.424948166997638,201,13.429184457985684,13.440200749988435,14.024940083007095,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,12,0,12,,,,,0,0,0,4,12,0,12,0,14.040228750003735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.025049832998775,14.040228750003735,14.124898000009125,202,14.128874999994878,14.140143083001021,14.708158416993683,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,13,0,13,,,,,0,0,0,4,13,0,13,0,14.723365541984094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.708385582984192,14.723365541984094,14.80773324999609,202,14.813507832994219,14.822967791988049,15.408176708006067,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,14,0,14,,,,,0,0,0,4,14,0,14,0,15.423335125000449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.408322458009934,15.423335125000449,15.508072083001025,202,15.512349917000392,15.523410541994963,16.091710250009783,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,15,0,15,,,,,0,0,0,4,15,0,15,0,16.106902958010323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.09185654198518,16.106902958010323,16.191579542006366,201,16.195977916999254,16.206797041988466,16.791708542004926,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,16,0,16,,,,,0,0,0,4,16,0,16,0,16.80693724998855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.791865250008414,16.80693724998855,16.875032207986806,202,16.8797787920048,16.890194042003714,17.47499020799296,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
./img/5.jpg,./img/5.jpg,y,./img/6.jpg,./img/1.jpg,./img/2.jpg,./img/3.jpg,./img/4.jpg,17,0,17,,,,,0,0,0,4,17,0,17,0,17.490386624995153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.475165916985134,17.490386624995153,17.57469283300452,202,17.578626417001942,17.590119291999144,18.158345125004416,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-06-25_01h22.32.161,oddball_ch3,,2026.1.1,59.972352740826814,2026-06-25 01h22.32.386689 +0800,
